# 대기열 — 청약홈 수집
# 형식: within=14 min=45 digest=1 grep=부천
within=14 min=45 grep=부천
within=14 min=40 digest=1
# 상태점검 2026-08-19 07:45 — 키 거부 진단(청약홈 401)
within=14 min=40 digest=1
# 진단 08:21 — DATA_GO_KR vs MOLIT 키 가르기
within=14 min=40 digest=1
# 인증방식 2종 시도 적용 확인 08:27
within=14 min=40 digest=1
# 재검증 2026-08-19 08:39 — 청약홈 운영계정 전환 후
within=14 min=40 digest=1
# 키 갱신 후 재검증 2026-08-19 09:18
within=14 min=40 digest=1
# 키 지문 확인 09:34
within=14 min=40 digest=1
# 키 앞자리 확인 09:43 — 08/16 재발급분인지
within=14 min=40 digest=1
# 청약홈 활용신청 승인 후 재검증 10:08 — 08-16 이후 밀린 공고까지
within=14 min=40 digest=1
# 2026-08-27 12:58 — 예약(11:04 KST)이 또 안 떴다. 오너 알림이 밀려 세션이 대신 돌린다.
within=14 min=40 digest=1
# 2026-08-28 22:20 — 8/28 예약이 아예 안 떴다(저장소 전체 예약이 8~11시간 밀리는 중). 세션이 대신 돌린다.
within=14 min=40 digest=1
